| Jan ??, 2000 | Russian Illegals Juan Lazaro and Vicky Pelaez surveilled in an unidentified South American country
| Oct 21, 2016 | FISA Primary Order and Warrant on Carter Page (p. 64-83) [signed: Judge Collyer]
| Oct 21, 2016 | NSA notifies DOJ & FIS Court of spying
| Oct 24, 2016 | Benjamin Wittes writes an article about insurance policies in Lawfare Blog
| Oct 24, 2016 | NSA verbally briefs FISA Court regarding non-compliance with NSA's minimization procedures
| Oct 25, 2016 | Giuliani teases that the Trump campaign has "surprises left" on Fox and Friends
| Oct 26, 2016 | McCabe, Lynch, and William Sweeney Jr. talk about leaks, including some about Eric Garner
| Oct 26, 2016 | NSA briefs w/ written reports the full FISA Court
| Oct 27, 2016 | Weiner laptop obstruction raised at Comey staff meeting (McCabe joins via conference call)
| Oct 28, 2016 | Carter Page writes EU Human Rights commission to report election tampering by spying on him, leaking false info
| Oct 28, 2016 | Comey notifies Congress reopening Clinton investigation
| Oct 28, 2016 | Steele's relationship with the FBI breaks down
| Oct ??, 2016 | (October 29th?) Steele Skypes with David Corn
| Oct 29, 2016 | Joe DiGenova announces FBI did not destroy Clinton team laptops
| Oct 29, 2016 | Joseph Mifsud emails his employee, Simona Mangiante, asking if he can meet with her in London
| Oct 30, 2016 | Reid writes letter to Comey, demands he announce Trump Russia investigation
| Oct 30, 2016 | WSJ article on McCabe's ties to McAuliffe
| Oct ??, 2016 | Clinton campaign and DNC stop paying Fusion GPS through Perkins Coie
| Oct 31, 2016 | "Was a Trump Server Communicating With Russia?" published in Slate (Hillary tweets it out)
| Oct 31, 2016 | FBI leaks confirmation of Trump-Russia investigation to Mother Jones
| Oct 31, 2016 | Comey and McCabe have face-to-face conversation about 10/30 WSJ article
| Oct 31, 2016 | Obama admin calls Moscow on a secure line (matter unknown)
| Oct 31, 2016 | David Corn publishes an article about a veteran spy's finding on Trump and Russia
| Oct 31, 2016 | NBC News: "FBI Making Inquiry Into Ex-Trump Campaign Manager's Foreign Ties"
| Oct 31, 2016 | FBI (Brennan?) leaks to New York Times, says they see no clear links between Trump Campaign and Russia
| Nov 01, 2016 | FBI terminates its relationship with Christopher Steele
| Nov 01, 2016 | Moscow confirms it received Obama admin's call on the secure line
| Nov 01, 2016 | McCabe recuses himself from Clinton Foundation investigation
| Nov 02, 2016 | Grassley sends letter to Comey about the relationship between Andrew McCabe, Jill McCabe, and Terry McAuliffe
| Nov 03, 2016 | Sputnik News interviews Halper, who says HRC would be better for UK-USA relations than Trump
| Nov 03, 2016 | CIA contractor, Reynaldo Regis, house raided by FBI [see: May 11, 2018, Daily Caller]
| Nov 04, 2016 | Newsweek: "Why Vladimir Putin's Russia Is Backing Donald Trump"
| Nov 04, 2016 | Huffington Post: "Rudy Giuliani Confirms FBI Insiders Leaked Information To The Trump Campaign"
| Nov 04, 2016 | WaPo: "In ‘Little Moscow,’ Russians helped Donald Trump’s brand survive the recession" (Sunny Isles Beach, Florida)
| Nov 05, 2016 | John Kerry and aides travel to Antarctica
| Nov 06, 2016 | Clinton investigation closes again after Strzok & 2 others review 650,000 emails in about six days
| Nov 07, 2016 | Heat Street: "FBI ‘Granted FISA Warrant’ Covering Trump Camp’s Ties To Russia" (archive.li/xFqPB)
| Nov 08, 2016 | Strzok: "Managed to get into a huge fight here about the Bu and Clinton. Because [?] just can't stop at fair observations. She has to assert her mastery of things about which she has NO knowledge."
| Nov 08, 2016 | The Hill: "Our ally Turkey is in crisis and needs our support" (Flynn op-ed)
| Nov 08, 2016 | Presidential election
| Nov 09, 2016 | FBI logs intrusion analysis into HRC server (what?)
| Nov 09, 2016 | Strzok send Lisa Page a Lawfare article titled "The Burden on Donald Trump"
| Nov 11, 2016 | Daily Caller: "Trump's top military adviser is lobbying for obscure company with ties to Turkish government" (Flynn)
| Nov 11, 2016 | Chris Christie demoted from leading the Trump transition team, replaced by Mike Pence
| Nov 11, 2016 | Michael McFaul tweets photo of Ambassador Kislyak at the Stanford Graduate School of Business giving a speech
| Nov 13, 2016 | Lisa Page purchases "All the President's Men" to brush up on Watergate
| Nov ??, 2016 | Agaralov family wires $1.2m from Russian bank account to New Jersey account owned by son [see: Sep 12, 2018 BuzzFeed]
| Nov 14, 2016 | "CNN: Trump has asked for top secret clearance for eldest 3 children and son-in-law Jared Kushner"
| Nov 14, 2016 | Mike Rogers (R-MI) hosts dinner party, guests John Brennan, Adm. Rogers, cast and crew of "Homeland"
| Nov 15, 2016 | Mike Rogers (R-MI) resigns from Trump transition
| Nov 15, 2016 | Lisa Page: "Yeah, and then the Deputy Director (Yates) told you to go to London on 24 hours notice."
| Nov 16, 2016 | Washington Examiner: "Mark Warner replaces Dianne Feinstein on Senate Intel Committee"
| Nov 16, 2016 | @ChuckRossDC: "Separate from Flynn, hacked emails show son of Turkey's president Erdogan discussing how to use U.S.-based nonprofits to lobby Congress."
| Nov 17, 2016 | Daily Caller: "Trump adviser recently met with relative of Turkey's president" (Ibrahim Kurtulus, Hilal Mutlu)
| Nov 17, 2016 | Daily Caller: "Michael Flynn will cut ties with his consulting firm if picked for spot in Trump admin"
| Nov 17, 2016 | Adm. Rogers makes unexpected visit to Trump Tower
| Nov 17, 2016 | In Halifax, Sir Andrew Wood coordinates with McCain and David Kramer to view Steele's dossier in London
| Nov 18, 2016 | Trump transition team relocates to Trump National Golf Club in Bedminster
| Nov 19, 2016 | Secretary of Defense Ash Carter and ODNI Clapper recommend Obama fire Adm. Rogers
| Nov 21, 2016 | Daily Caller: "Michael Flynn flip-flopped on Turkey coup attempt in recent months"
| Nov 21, 2016 | Bruce Ohr meets up with Peter Strzok, Lisa Page, and an unknown FBI agent
| Nov 21, 2016 | Bruce Ohr note indicates FBI officials tell Bruce Ohr that they "may go back to Chris"
| Nov 21, 2016 | Copy of Anthony Weiner laptop in SCIF at FBI HQ, available for viewing by Priestap, per FBI Vault, part 23, pgs 142-143
| Nov 22, 2016 | Forbers: "Exclusive Interview: How Jared Kushner Won Trump The White House"
| Nov 22, 2016 | FBI interviews Bruce Ohr (Ohr FD-302 December 19, 2016)
| Nov 28, 2016 | In an interview, Bruno Kahl suggests Russia may try to interfere in upcoming German elections
| Nov 29, 2016 | Strzok, Lisa Page discuss withholding info wrt McCabe and MYE ("Can we tailor what we send, ie, give them some some subset of what they're asking for?")
| Nov 30, 2016 | Trump meets with Preet Bharara, Preet agrees to remain US Attorney under Trump
| Dec 01, 2016 | @ChuckRossDC: ".@GenFlynn's intel firm formally terminated lobbying contract with Dutch company owned by Turkish businessman."
| Dec 01, 2016 | Strzok: "And I keep thinking about what the D said, what was it, sick to one's stomach?"
| Dec 01, 2016 | Kushner meets with Ambassador Kislyak at Trump Tower to discuss Moscow back-channel [see: May 26, 2017 NYT]
| Dec ??, 2016 | Russia Today interviews Carter Page (mid-December?)
| Dec ??, 2016 | Bruce Ohr meets Glenn Simpson in Chinatown, Bruce is handed a memory stick
| Dec 05, 2016 | FBI interviews Bruce Ohr (Ohr FD-302 December 19, 2016)
| Dec 08, 2016 | McCain delivers dossier to Comey
| Dec 09, 2016 | Brennan provides ICA assessment to Obama, showing Russia preferring Trump over Clinton
| Dec 09, 2016 | Obama orders review of Russian interference in US elections going back to 2008
| Dec 09, 2016 | Imran Awan returns to U.S. from Pakistan
| Dec 09, 2016 | NYT: "Russian Hackers Acted to Aid Trump in Election, U.S. Says"
| Dec 10, 2016 | Reporter asks FBI (Strzok) whether they're uncertain about Russia preference for Trump. [see: Sep 20, 2018 The Hill]
| Dec 10, 2016 | Strzok (to reporter): “The specific point I made was we did not have information to differentiate what their ultimate goal was. In other words, the activity is one-sided and clear but we can’t say the sole and primary purpose was specifically intended to help someone, hurt someone else or undermine the process. The reality is all three.” [see: Sep 20, 2018 The Hill]
| Dec 10, 2016 | Simpson tells Ohr at a DC coffee shop that Michael Cohen was the “go-between from Russia to the Trump campaign.”
| Dec 12, 2016 | FBI interviews Bruce Ohr (Ohr FD-302 December 19, 2016)
| Dec 12, 2016 | Politico: "Here’s What America Needs to Know About Trump and Russia" (Evelyn Farkas)
| Dec 13, 2016 | Steele writes his last memo, says Michael Cohen traveled to Prague in August 2016 (Cohen denies)
| Dec 13, 2016 | "The Perfect Weapon: How Russian Cyberpower Invaded the U.S." is published in the NYT
| Dec 13, 2016 | Neil King informs colleagues he is joining Fusion GPS
| Dec 13, 2016 | Kushner meets with sanctioned Russian VEB Bank CEO Sergey Gorkov [see: May 9, 2018 @SenBlumenthal]
| Dec 14, 2016 | Kushner meets with sanctioned Russian VEB Bank CEO Sergey Gorkov [see: Mar 24, 2018 @gregolear]
| Dec 14, 2016 | Last Page/Strzok text for six months (starts back up 2017-May-18)
| Dec 15, 2016 | CBS News: "Vladimir Putin likely gave go-ahead for U.S. cyberattack, intelligence officials say"
| Dec 15, 2016 | NBC News: "U.S. Officials: Putin Personally Involved in U.S. Election Hack"
| Dec 15, 2016 | Page: "Oh, remind me to tell you tomorrow about the times doing a story about the rnc hacks" [see: Sep 12, 2018 Fox]
| Dec 15, 2016 | Strzok: "And more than they already did? I told you Quinn told me they pulling out all the stops on some story..."
| Dec 15, 2016 | Strzok: "Think our sisters have begun leaking like mad. Scorned and worried, and political...kicking into overdrive."
| Dec 15, 2016 | Strzok: "And we need to talk more about putting C reporting in our submission. They’re going to declassify all of it"
| Dec 15, 2016 | Page: "I know. But they’re going to declassify their stuff, how do we withhold..."
| Dec 15, 2016 | Strzok: "Just want to ensure everyone is good with it and has thought thru all implications."
| Dec 15, 2016 | Strzok: "CD should bring it up with the DD."
| Dec 15, 2016 | Evelyn Farkas discusses Russian meddling on CNN
| Dec 15, 2016 | Ukraine backs away from claims of Paul Manafort's illegal dealings
| Dec 15, 2016 | Lisa Monaco at Defense One Summit says that the Trump transition team has not contacted her personally
| Dec 15, 2016 | Clapper signs and authorizes the dissemination of NSA surveillance (Executive Order 12333), signed by AG Lynch Jan 3
| Dec 15, 2016 | George Nader and Mohammed bin Zayed al Nahyan meet secretly with Kushner, Bannon, and Gen. Flynn at Trump Tower
| Dec 15, 2016 | Louise Mensch and News Corp. part ways [see: January 5, 2017 Politico]
| Dec 16, 2016 | Obama gives end-of-the-year press conference, says election overrun with leaked information
| Dec 17, 2016 | Dearlove, Halper, and Peter Martland resign from Cambridge Intelligence Seminar, cite Russian influence (Venuscript)
| Dec 18, 2016 | Strzok: "Man, our intel submission is going to be a BOMB." [see: Sep 20, 2018 The Hill]
| Dec 18, 2016 | Page: "Oh god, why do you say that? Was planning to try to go in early to reach it before our mtg with Jim." [see: Sep 20, 2018 The Hill]
| Dec 18, 2016 | Strzok: "Oh it's fine. You've heard it all. I'm just saying the C portion is absolutely different from the bulk of the stuff in the community. And the community and especially the Wh will jump all over it since it's what they WANT to say and they can attribute it to us, not themselves. All the benefit, none of the political risk. We get all of that." [see: Sep 20, 2018 The Hill]
| Dec 19, 2016 | The Guardian: "Israeli tycoon Beny Steinmetz arrested over Guinea bribery claims" (Steinmetz, friend of Kushner)
| Dec 20, 2016 | FBI interviews Bruce Ohr (Ohr FD-302 December 27, 2016)
| Dec 19, 2016 | Page: "And this. It will make your head spin to realize how many stories we played a personal role in. Sheesh, this has been quite a year… NYTimes: The most-read stories of 2016 (with a link)." [see: September 20, 2018 saraacarter.com]
| Dec 19, 2016 | Strzok: "Jesus, I want to take people out for a drink. I want to take YOU out for a drink. I hope this upcoming presidency doesn’t fill my years with regret wondering what we might have done differently." [see: September 20, 2018 saraacarter.com]
| Dec 22, 2016 | Gen. Flynn speaks to unknown Russian officials regarding Israel
| Dec 23, 2016 | Politico: "Putin's Way of War" (Lawfare's Matt Tait)
| Dec 28, 2016 | Obama orders sanctions against Russia in response to Russian interference in U.S. elections
| Dec 28, 2016 | Gen. Flynn speaks to Ambassador Kislyak
| Dec 29, 2016 | Obama expels 35 officials from the Russian Embassy in Maryland's Eastern Shore
| Dec 29, 2016 | Viktor Pinchuk authors an article for WSJ regarding Ukraine and Trump
| Dec 29, 2016 | Russian Malicious Activity Report, GRIZZLY STEPPE, is released
| Dec 29, 2016 | Flynn speaks again to Ambassador Kislyak
| Dec 30, 2016 | FBI concludes it has not found any evidence of wrongdoing of Trump campaign officials to Russian government
| Jan ??, 2017 | Obama spells out succession order, listing three U.S. attorneys as being in line to succeed as AG
| Jan ??, 2017 | Free Beacon parts ways with Fusion GPS sometime in January
| Jan ??, 2017 | Steele (and Fusion?) may have gone to work for Daniel Jones at Penn Quarterly Group post-election
| Jan 01, 2017 | Buryakov becomes eligible for transition to a halfway house, option deferred [see: April 5, 2018 Daily Beast]
| Jan 03, 2017 | Strzok: "He, like us, is concerned with over sharing. Doesn't want Clapper giving CR cuts to WH. All political, just shows our hand and politically makes enemies."
| Jan 03, 2017 | Page: "Yeah, but keep in mind we were going to put that in the doc on Friday, with potentially larger distribution than just the dni." [see: Sep 20, 2018 The Hill]
| Jan 03, 2017 | Strzok: "The question is should we , particularly to the entirety of the lame duck usic with partisan axes to grind." [see: Sep 20, 2018 The Hill]
| Jan 03, 2017 | Schumer, in Maddow interview, says "the intelligence community, they have six ways from Sunday at getting back at you"
| Jan 03, 2017 | Loretta Lynch signs Section 2.3 of Executive Order 12333 (Obama's NSA data-sharing order)
| Jan 05, 2017 | Obama and Biden briefed on dossier and report, presented by Clapper, Comey, Brennan, and Rogers
| Jan 05, 2017 | Obama, Comey, Yates, Biden, Susan Rice meet in Oval Office to discuss FBI investigation and Steele dossier
| Jan 05, 2017 | Politico: "Louise Mensch no longer leading News Corp.'s Heat Street"
| Jan 06, 2017 | FBI interviews Huma (why?)
| Jan 06, 2017 | ODNI ICA report on Russian Activities says CIA and FBI give high confidence, NSA moderate confidence
| Jan 06, 2017 | Comey briefs Trump on Steele dossier
| Jan 06, 2017 | Clapper appears on CNN and tells Jake tapper about the dossier
| Jan 09, 2017 | Erik Prince meets with UAE in Seychelles to dissuade Russia's relationship with Iran [see: Apr 3, 2017 WaPo]
| Jan 09, 2017 | IBTimes: "Trump Administration Waives Punishment For Convicted Banks, Including Deutsche — Which Trump Owes Millions"
| Jan 10, 2017 | Newsweek: "Trump, Putin, and the Hidden History of How Russia Interfered in the U.S. Presidential Election"
| Jan 10, 2017 | NYT: "Russian Hackers Gained ‘Limited’ Access to R.N.C., Comey Says"
| Jan 10, 2017 | Carter Page questions Lisa Monaco, hushed by pro-Clinton campaign journalist [see: March 8, 2017 letter to SSCI]
| Jan 10, 2017 | BuzzFeed: "These Reports Allege Trump Has Deep Ties To Russia"
| Jan 10, 2017 | Comey testifies before Senate Intelligence Committee, says DNC refused to provide FBI access to hacked computer servers
| Jan 11, 2017 | WSJ: "Christopher Steele, Ex-British Intelligence Officer, Said to Have Prepared Dossier on Trump"
| Jan 11, 2017 | Politico: "Ukrainian efforts to sabotage Trump backfire"
| Jan 11, 2017 | The Guardian: "John McCain passes dossier alleging secret Trump-Russia contacts to FBI"
| Jan 11, 2017 | Vanity Fair: "What Intelligence Experts Think of the Explosive Trump-Russia Report"
| Jan 11, 2017 | Jake tapper releases statement from ODNI's Clapper about meeting with Trump
| Jan 11, 2017 | Daily Mail: "British government must NOT protect ex-spy behind claims of 'dirty' dossier on Trump, says Tory MP"
| Jan 12, 2017 | FISA Verified Application on Carter Page (p. 84-162) [signed: Comey, Yates]
| Jan 12, 2017 | FISA Primary Order and Warrant on Carter Page (p. 163-181) [signed: Judge Mosman]
| Jan 12, 2017 | Adam Lovinger invited to leave Office of Net Assessment
| Jan 12, 2017 | CNN: "Intel chiefs presented Trump with claims of Russian efforts to compromise him"
| Jan 12, 2017 | Paul Wood: "Trump 'compromising' claims: How and why did we get here?"
| Jan 12, 2017 | WikiLeaks: "If Obama grants Manning clemency Assange will agree to US extradition"
| Jan 12, 2017 | WARN notice filed w/NY Dept of Labor, main office of Clinton Global Initiative to close [see: Jan 15, 2017 Observer]
| Jan 12, 2017 | Adam Waldman texts Bruce Ohr, the two agree to speak later in the day
| Jan 12, 2017 | Adam Waldman visits Julian Assange in London
| Jan 12, 2017 | IG Horowitz opens investigation into the DOJ
| Jan 12, 2017 | Flynn conversation with Ambassador Kislyak is leaked to the Washington Post
| Jan 12, 2017 | Trump: "James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated."
| Jan 12, 2017 | Farkas: "Does Putin Have Something on Trump? Obama Should Tell Us"
| Jan 12, 2017 | Adam Waldman visits Julian Assange in the Ecuadorian Embassy [see: June 20, 2018 The Guardian]
| Jan 13, 2017 | Adam Waldman visits Julian Assange in the Ecuadorian Embassy [see: June 20, 2018 The Guardian]
| Jan 13, 2017 | Obama allows NSA to share private data gathered without warrants or court orders with 16 other intel agencies
| Jan 15, 2017 | The Observer: "The Clinton Foundation Shuts Down Clinton Global Initiative"
| Jan 16, 2017 | Scaramucci meets with RDIF CEO Kirill Dmitriev in Davos, Switzerland [see: Jun 22, 2017 retracted CNN]
| Jan 17, 2017 | Bloomberg: "Trump Aide Talks Investment With Sanctioned Kremlin Fund"
| Jan 17, 2017 | Samantha Power uses final speech in U.N. to criticize Russia
| Jan 17, 2017 | Politico: "Obama commutes Chelsea Manning's sentence"
| Jan 18, 2017 | Imran Awan wires $283k to two individuals in Faisalabad, Pakistan [see: July 25, 2017 Daily Caller]
| Jan 18, 2017 | New Observer: "FBI, five other agencies probe possible covert Kremlin aid to Trump"
| Jan 18, 2017 | The Guardian: "Julian Assange ready for US extradition, one of his lawyers suggests"
| Jan 19, 2017 | @jeneps: "Warren & Cardin send letter to Mnuchin about concerns @Scaramucci violated Russia sanctions with Davos mtg"
| Jan 19, 2017 | The Guardian: "Joaquín 'El Chapo' Guzmán, Mexican drug lord, has been extradited to the US"
| Jan 19, 2017 | Top Obama intel and law enforcement deputies meet to talk about Flynn's conversation with Ambassador Kislyak
| Jan 19, 2017 | LEO intercept communications of Trump officials, including Paul Manafort
| Jan 20, 2017 | Brennan resigns
| Jan 20, 2017 | Loretta Lynch resigns
| Jan 20, 2017 | Susan Rice sends herself an email about January 5th Oval Office meeting
| Jan 23, 2017 | @markknoller: "Senate votes 66-31 to confirm Mike Pompeo as CIA Director"
| Jan 23, 2017 | FBI reports nothing unlawful in content of Flynn call
| Jan 23, 2017 | Strzok: "I can feel my heart beating harder...THIS has the potential to go fully off the rails."
| Jan 23, 2017 | Peter Strzok and FBI Agent Pientka interview Gen. Flynn without notice
| Jan 23, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 January 31, 2017)
| Jan 24, 2017 | WSJ reports Sergei Millian iss reportedly the source for some of the salacious allegations in the dossier
| Jan 25, 2017 | DOJ receives detailed briefing on Flynn from FBI
| Jan 25, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 January 27, 2017)
| Jan 26, 2017 | FBI interviews Papadopoulos, Pdop is claimed to have said he met Mifsud before joining the Trump campaign
| Jan 26, 2017 | Trump at GOP Retreat: "Where is Pompeo? Where the hell is he? Did he ever come here? Oh, he's working!"
| Jan 26, 2017 | Sally Yates travels to the White House with Mary McCord to discuss Gen. Flynn
| Jan 27, 2017 | Cohen, Sater, and Ukrainian lawmaker Andrii Artemenko discuss a Ukrainian peace plan proposal [see: Mar 6, 2018 WaPo]
| Jan 27, 2017 | BBC: "Trump 'compromising' claims: How and why did we get here?"
| Jan 27, 2017 | Sally Yates returns to the White House for a second discussion about Gen. Flynn
| Jan 27, 2017 | Adam Waldman visits Julian Assange in the Ecuadorian Embassy [see: June 20, 2018 The Guardian]
| Jan 27, 2017 | FBI interviews Papadopoulos
| Jan 27, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 January 27, 2017)
| Jan 27, 2017 | Adam Waldman visits Julian Assange in London
| Jan 27, 2017 | Steele: "Our guy's OK for the time being, but I would like to keep our channel open on him and his situation"
| Jan 30, 2017 | Time: "President Trump Fires Acting Attorney General Sally Yates After She Defied Immigration Order"
| Jan 30, 2017 | Matthew Axelrod (Principal Associate Deputy Attorney General) resigns
| Jan 31, 2017 | Steele: "need another (Bureau?) contact point/number...can’t allow our guy to be forced to go back home."
| Feb ??, 2017 | Michael B. Steinbach (FBI Executive Assistant Director for the National Security Branch) retires
| Feb 01, 2017 | NBC News: "Rex Tillerson Confirmed as Secretary of State"
| Feb 02, 2017 | Daily Beast: "Will Donald Trump Free This Russian Superhacker?" (Roman Seleznev)
| Feb 03, 2017 | Waldman meets Bruce Ohr in DC [see: Jun 25, 2018 The Hill]
| Feb 06, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 February 8, 2017)
| Feb 08, 2017 | Comey possibly tells Trump that a FISA had been placed on Gen. Flynn
| Feb 08, 2017 | Sessions confirmed Attorney General
| Feb 08, 2017 | FBI interviews Mifsud
| Feb 09, 2017 | NYT: "Flynn Is Said to Have Talked to Russians About Sanctions Before Trump Took Office"
| Feb 09, 2017 | Rachel Brand (Associate Attorney General, number three official behind Deputy AG Rosenstein) resigns
| Feb 10, 2017 | Charles Tawil contact with George Papadopoulos around this time [see: Nov 2, 2018 Bongino podcast]
| Feb 11, 2017 | Mifsud leaves the U.S.
| Feb 12, 2017 | Carter Page sends letter to the Civil Voting Rights Division of the DOJ
| Feb 13, 2017 | Pitchfork: "Moby Claims to Have Top-Secret Information About Trump Ties to Russia"
| Feb 13, 2017 | NYT: "Michael Flynn Resigns as National Security Adviser"
| Feb 14, 2017 | NYT: "Trump Campaign Aides Had Repeated Contacts With Russian Intelligence"
| Feb 14, 2017 | Trump, in a private one-on-one meeting, asks Comey to drop the investigation into Gen. Flynn
| Feb 14, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 February 15, 2017)
| Feb 14, 2017 | Page: "launch on F 302"
| Feb 16, 2017 | FBI interviews Papadopoulos
| Feb 17, 2017 | Papadopoulos deletes Facebook
| Feb 16, 2017 | Waldman: "this guy is going to do something catastrophic for the dems, Obama, CIA and national security."
| Feb ??, 2017 | Waldman issued order by Warner and Comey to disengage negotiations with Assange [see: Jun 25, 2018 The Hill]
| Feb ??, 2017 | Laufman disagrees with order, tells Waldman negotiations with Assange are to proceed [see: Jun 25, 2018 The Hill]
| Feb 18, 2017 | Mifsud speaks at Global Ties national conference, sponsored by the State Dept's Office of International Visitors
| Feb 23, 2017 | Papadopoulos changes cell phone numbers
| Feb 23, 2017 | AdWeek: "The Washington Post Adds WSJ’s Devlin Barrett, John Podesta Joins as Contributing Columnist"
| Feb 23, 2017 | Paul Manafort's daughter's phone is hacked showing unknown persons were trying to blackmail Manafort
| Feb 24, 2017 | Evan Osnos: "Jared Kushner met w/ Russian Amb Kislyak in Trump Tower during transition"
| Feb 27, 2017 | New Yorker: "Michael Flynn, General Chaos"
| Mar 01, 2017 | NYT: "Obama Administration Rushed to Preserve Intelligence of Russian Election Hacking"
| Mar 02, 2017 | WaPo: "Democrats call for Sessions’s resignation and special prosecutor on alleged ties between Trump, Russia"
| Mar 02, 2017 | PBS: "In a reversal, former Trump campaign adviser Carter Page now says he did have contact with Russia"
| Mar 03, 2017 | The Guardian: "Jeff Sessions recuses himself from Russia inquiry amid calls for resignation"
| Mar 03, 2017 | Waldman: "Hey Mark, am back in Washington and hope we can get together, maybe w Jack? And our wives?"
| Mar 04, 2017 | Trump: "Just found out that Obama had my "wires tapped" in Trump Tower just before the victory."
| Mar 04, 2017 | The Hollywood Report: "Mike Pence jokes media is "enemy of the people" at Gridiron Dinner"
| Mar 05, 2017 | U.S. Customs search the wife of Imran Awan, Hina Alvi, and find $12,400 [see: Jul 25, 2017 Daily Caller]
| Mar 06, 2017 | @20Committee: "Learned fm very reliable IC sources that Trump WH, w/help from Russian intel, targeting US journalists"
| Mar 06, 2017 | James Madison Project FOIA's for any Trump-related FISA warrants [see: Oct 19, 2018 James Madison Project]
| Mar 06, 2017 | Daily Caller: "Dem super-lobbyist Podesta got $170k to end US sanctions on Russian bank"
| Mar 07, 2017 | Daily Caller: "Podesta didn't register as a foreign agent when he represented a bank with ties to Russia spy agencies"
| Mar 07, 2017 | Steele: "concerned by the Grassley letter and it's possible implications for us, our operations, and our sources."
| Mar 07, 2017 | WikiLeaks: "Vault 7 Part 1 'Year Zero': Inside the CIA's global hacking force"
| Mar 08, 2017 | The Guardian: "Why James Clapper's Trump comments may not conflict with reports of secret court order"
| Mar 08, 2017 | Politico: "Authorities looked into Manafort protégé" (Kilimnick)
| Mar 09, 2017 | B.I.: "Foreign policy adviser disavowed by Trump team says he ‘spent many hours’ at Trump campaign headquarters"
| Mar 06, 2017 | Grassley: "FBI Plan to Pay Ex-Spy...Sparks Questions of Obama Admin’s Use of Federal Authorities for Political Gain"
| Mar 09, 2017 | BuzzFeed: "Nigel Farage Just Visited The Ecuadorian Embassy In London"
| Mar 09, 2017 | WaPo: "House Intelligence Committee chiefs ask Justice for proof of wiretaps on Trump"
| Mar 09, 2017 | CNN: "Sources: FBI investigation continues into 'odd' computer link between Russian bank and Trump Organization"
| Mar 10, 2017 | Carter Page meets with FBI agents under McCabe's command [see: Sep 20, 2018 @carterwpage]
| Mar 11, 2017 | CNN: "Ukraine lawyer seeks probe of alleged hacked texts of Manafort's daughter"
| Mar 11, 2017 | Bharara: "I did not resign. Moments ago I was fired."
| Mar 14, 2017 | CNN: "Justice department asks for more time to collect evidence on Trump wiretap claims"
| Mar 14, 2017 | CNBC: "US Senate Intelligence chairman plans public hearing on Russia"
| Mar 14, 2017 | Napolitano: "Obama...didn't use the NSA...CIA...FBI. And he didn't use the Department of Justice. He used GCHQ."
| Mar 14, 2017 | True Pundit: "Deputy Director and FBI Brass Secretly Conspired to Wage Coup Against Flynn & Trump"
| Mar 15, 2017 | Ohr: "Special Counsel, right to question in U.K.?" [see: Gregg Jarrett, youtube.com/watch?v=eTtveyYnJGg&t=19m25s]
| Mar 15, 2017 | Steele: "Must protect sources." [see: Gregg Jarrett, youtube.com/watch?v=eTtveyYnJGg&t=19m25s]
| Mar 15, 2017 | Grassley threatens to block the nomination of Rod Rosenstein if DOJ does not comply with demands
| Mar 15, 2017 | Trump: "We have it [wiretapping evidence] before the committee. We're submitting some things." (Interview w/Tucker)
| Mar 16, 2017 | Marie Argentieri's van broken into, laptop stolen at 3am [see: Mar 17, 2017, NYDN / Mar 20, 2017 TMZ]
| Mar 16, 2017 | Waldman: "Chris Steele asked me to call you"
| Mar 16, 2017 | Carter Page meets with FBI agents under McCabe's command [see: Sep 20, 2018 @carterwpage]
| Mar 16, 2017 | The Daily Beast: "DOJ Blows Wiretap Deadline, Asks Intelligence Committee for More Time"
| Mar 17, 2017 | Kevin McCarthy and Paul Ryan joke that Trump is paid by Putin (McMullin suspected) [see: May 21, 2017 WaPo]
| Mar 17, 2017 | Waldman meets with Dan Jones
| Mar 17, 2017 | Reuters: "Moscow on the Beach: Russian elite invested nearly $100 million in Trump buildings" (hitpiece by Dan Jones)
| Mar 17, 2017 | Carter Page 2016 FISA application transported to SSCI
| Mar 17, 2017 | James Wolfe texts and talks to Ali Watkins (82 texts, 28min phone call)
| Mar 17, 2017 | NYDN: "Laptop holding Trump Tower floor plans, Clinton email investigation info stolen from Secret Service agent"
| Mar 20, 2017 | TMZ: "Trump Tower: Secret Service Theft Caught on Video - Thief Knew What He Was After"
| Mar 20, 2017 | Steele: "Hoping that important firewalls will hold." [see: Aug 8, 2018 The Hill]
| Mar 20, 2017 | McClatchly: "FBI’s Russian-influence probe includes a look at Breitbart, InfoWars news sites" (hitpiece by Dan Jones)
| Mar 20, 2017 | CNBC: "FBI's Comey and NSA's Rogers get grilled on Capitol Hill about Russia probe, leaks"
| Mar 20, 2017 | Comey confirms investigation into Trump associates and Russia
| Mar 21, 2017 | CNN: "Paul Manafort faces fresh accusations in Ukraine after document find"
| Mar 22, 2017 | WaPo: "House Intelligence chair says Trump campaign officials were ensnared in surveillance operations"
| Mar 22, 2017 | AP: "Exclusive: Before Trump job, Manafort worked to aid Putin"
